category_list,funding_total_usd,country_code,funding_rounds,label,Num_of_investor,funding_duration,first_funding_at_UTC,last_funding_at_UTC
curatedweb,2000000.0,CHN,1,0,1.0,0.0,13957.0,13957
games,41250.0,HKG,1,0,1.0,0.0,16252.0,16252
analytics,33600000.0,USA,4,0,14.0,1040.0,15708.0,16748
mobile,1150050.0,USA,3,0,13.0,931.0,15175.0,16106
e-commerce,40000.0,CHL,1,0,1.0,0.0,15754.0,15754
apps cable distribution software,5000000.0,USA,1,1,1.0,0.0,16511.0,16511
search,40000.0,USA,1,0,1.0,0.0,15209.0,15209
art e-commerce marketplaces,500000.0,USA,1,1,3.0,0.0,14379.0,14379
curatedweb,2535000.0,USA,2,1,13.0,411.0,14610.0,15021
curatedweb,6795451.0,USA,9,0,13.0,2221.0,14531.0,16752
localbusinesses restaurants,10661772.8991108,FRA,5,0,17.0,1054.0,15689.0,16743
cosmetics marketplaces,8900000.0,FRA,1,0,5.0,0.0,16625.0,16625
games media,10000000.0,CHN,3,0,4.0,1307.0,14975.0,16282
hospitality,3000000.0,CHN,2,0,2.0,949.0,13885.0,14834
education,4500000.0,CHN,2,0,2.0,243.0,13149.0,13392
healthcare healthcareinformationtechnology hospitals,4000000.0,USA,2,0,6.0,328.0,16400.0,16728
analytics,1250000.0,USA,2,1,4.0,28.0,15280.0,15308
software,35000000.0,USA,1,1,1.0,0.0,14676.0,14676
e-commerce mobilecommerce socialcommerce,1600000.0,USA,2,0,2.0,189.0,16009.0,16198
biotechnology technology,55000000.0,USA,1,0,3.0,0.0,16447.0,16447
socialtravel,20000000.0,CHN,1,0,1.0,0.0,16188.0,16188
enterprisesoftware,1800000.0,USA,1,0,1.0,0.0,15055.0,15055
healthandwellness personalhealth,935000.0,USA,1,0,5.0,0.0,16400.0,16400
audio mobile music,440000.0,AUS,3,0,3.0,425.0,15461.0,15886
healthdiagnostics medicaldevices personalization pharmaceuticals politics software technology,794000.0,USA,6,0,7.0,695.0,15376.0,16071
e-commerce saas,1000000.0,ROM,2,0,1.0,1992.0,14610.0,16602
software,378812.0,GBR,1,0,1.0,0.0,16147.0,16147
publishing services,130636.0,FRA,1,0,1.0,0.0,15414.0,15414
mobile serviceproviders software,1809056.0,KOR,1,0,1.0,0.0,16415.0,16415
manufacturing,71450000.0,USA,9,0,19.0,2569.0,13965.0,16534
augmentedreality computervision games ipad mobile,700000.0,SWE,1,1,1.0,0.0,15506.0,15506
advertising bigdataanalytics interestgraph,5500000.0,USA,2,0,6.0,666.0,14426.0,15092
advertising entertainment realtime socialmedia sports video,500000.0,USA,1,0,1.0,0.0,14734.0,14734
software,3400000.0,USA,3,0,14.0,1005.0,15340.0,16345
publictransportation,16000000.0,CHN,1,0,2.0,0.0,16591.0,16591
software,14000000.0,USA,1,1,1.0,0.0,11793.0,11793
internet,5250000.0,USA,2,0,2.0,239.0,16484.0,16723
travel,84440319.0,CHN,3,0,5.0,2239.0,13879.0,16118
education languagelearning,135000000.0,USA,5,0,15.0,1510.0,14975.0,16485
finance fintech,9478511.0,CHN,3,0,3.0,2738.0,13149.0,15887
cleantechnology residentialsolar,5000000.0,USA,1,0,1.0,0.0,14651.0,14651
games software videogames,200000000.0,RUS,1,0,1.0,0.0,15250.0,15250
healthcare insurance medical,2500000.0,USA,1,0,1.0,0.0,16552.0,16552
geospatial maps outdoors,40000.0,NOR,1,0,1.0,0.0,15441.0,15441
healthandwellness healthcare internet sms,37639.0,COL,1,0,1.0,0.0,16211.0,16211
doctors healthcare healthcareinformationtechnology video videochat,1700000.0,USA,2,1,13.0,1441.0,15196.0,16637
healthandwellness mobilehealth,2100000.0,USA,3,0,5.0,760.0,15775.0,16535
e-commerce,4163132.0,CHN,2,0,3.0,380.0,15949.0,16329
healthandwellness healthcare services,30000000.0,USA,1,0,5.0,0.0,15785.0,15785
socialmedia,500000.0,USA,1,0,2.0,0.0,15922.0,15922
financialservices fintech,10000000.0,USA,1,0,2.0,0.0,16197.0,16197
e-commerce,117000000.0,USA,5,0,7.0,1406.0,15281.0,16687
e-commerce,750000.0,USA,1,0,1.0,0.0,15614.0,15614
analytics bigdata enterprisesoftware marketresearch mobile software,4000000.0,USA,3,0,6.0,772.0,15888.0,16660
games,1660000.0,FRA,1,0,2.0,0.0,14049.0,14049
design healthandwellness healthcare hospitals medicaldevices,204189.0,BEL,1,0,3.0,0.0,16246.0,16246
biotechnology healthdiagnostics,4345427.0,USA,3,0,1.0,1130.0,15608.0,16738
mobile,29750000.0,IRL,1,0,1.0,0.0,14064.0,14064
news,51507046.0,USA,7,0,9.0,1943.0,14826.0,16769
